total_count,total_pages,current_page,code,title,description,image_src,image_alt,rating_score,rating_exact_score,rating_review_count,location,category,retail_price_amount,retail_price_currency,discounted_price_amount,discounted_price_currency,url,is_private_tour,languages,duration_days,duration_hours,duration_minutes,has_free_cancellation,latitude,longitude,max_travelers_allowed,country
110,5,1,3701ZIP,Zipline Adventure in Whistler,"Take your sightseeing to the skies—and enjoy a new angle on the scenery that few others get to see—on an exhilarating zipline tour through the unspoiled Whistler wilderness. With your choice of two different tour options, select the ideal experience for your tastes. Breathe in crisp mountain air as you zip above white-water rivers and alpine forests, with guides on hand to offer safety briefings and support throughout.",https://media.tacdn.com/media/attractions-splice-spp-360x240/07/aa/49/54.jpg,Zipline Adventure in Whistler,5.0,4.9,1180,"Whistler, British Columbia",Extreme Sports,2068.61,ZAR,2068.61,ZAR,/tours/Whistler/Zipline-Adventure-in-Whistler/d618-3701ZIP,False,,,,,True,50.113558999999995,-122.954495,10.0,Canada
110,5,1,2014P20,Whistler Odyssey Tour: Off-Road Buggy Adventure,"Get behind the wheel of your own 4X4 off-road buggy on this guided tour of Whistler. First, receive instructions on how to drive your buggy. Then, rev your engine and climb rugged mountain roads and forested single-track trails in Callaghan Valley. Take in scenic views while keeping your eyes peeled for local wildlife along the way.",https://media.tacdn.com/media/attractions-splice-spp-360x240/0b/e1/2d/8a.jpg,Whistler Odyssey Tour: Off-Road Buggy Adventure,5.0,4.9,647,"Whistler, British Columbia",Half-day Tours,4675.35,ZAR,4675.35,ZAR,/tours/Whistler/Whistler-Odyssey-Tour-Off-Road-Buggy-Adventure/d618-2014P20,False,en,,,,True,50.113558999999995,-122.954495,2.0,Canada
110,5,1,2014WR,Whistler Wilderness Run Snowmobile Tour,"Enjoy the thrills of exploring the British Columbia wilderness on this small-group snowmobiling tour. Ideal for intermediate riders looking an adventure, follow your guide through an exciting backcountry terrain of thickly forested trails and frozen lakes, with stunning scenery throughout the ride. Includes all gear, training, and transportation to the trailhead.",https://media.tacdn.com/media/attractions-splice-spp-360x240/0b/7c/b4/48.jpg,Whistler Wilderness Run Snowmobile Tour,5.0,4.9,569,"Whistler, British Columbia",Winter Sports,3847.86,ZAR,3847.86,ZAR,/tours/Whistler/Whistler-Wilderness-Snowmobile-Run/d618-2014WR,False,en,,,,True,50.113558999999995,-122.954495,14.0,Canada
110,5,1,20466P1,2 Hour Wilderness Adventure Snowmobile Tour in Whistler,"Head to the famed ski town of Whistler Village—the headquarters for many of the 2010 Winter Olympic events—on this winter snowmobile tour. Choose from a morning or afternoon departure time, and then explore the local back-country terrain. Visit scenic trails and lookouts, frozen lakes, and high-alpine bowls on this exciting tour. If you forget some of your winter gear—snow pants, jackets, boots, gloves, helmets, and goggles—you have the option to borrow at no additional charge. A hot drink and snack are included.",https://media.tacdn.com/media/attractions-splice-spp-360x240/06/f1/23/5c.jpg,2 Hour Wilderness Adventure Snowmobile Tour in Whistler,5.0,4.9,534,"Whistler, British Columbia",Winter Sports,3270.58,ZAR,3270.58,ZAR,/tours/Whistler/Scenic-Tour/d618-20466P1,False,en,,,,True,50.0583496,-123.1162567,20.0,Canada
110,5,1,6759ZIPLINE,Whistler Superfly Ziplines,"Fly through our Cougar Mountain wonderland in Whistler, on the world’s most spectacular ziplines. We’ve designed and custom-built one of the best adventures in the world. Your tour starts with a custom 4×4 climb up Rainbow Mountain, and at the top we will get you ready to soar across mountain valleys and through old growth forests on four dual ziplines. Highlighted by our longest zipline at well over a kilometer long and 200 meters high, you will reach speeds up to 100 km/hour as you fly through the BC backcountry.",https://media.tacdn.com/media/attractions-splice-spp-360x240/10/6f/62/f2.jpg,Whistler Superfly Ziplines,5.0,4.9,440,"Whistler, British Columbia",Extreme Sports,3003.81,ZAR,3003.81,ZAR,/tours/Whistler/Whistler-Superfly-Ziplines/d618-6759ZIPLINE,False,en,,,,True,50.171948,-122.9228468,10.0,Canada
110,5,1,2014P24,Callaghan Cruiser Snowmobile Tour,"Drive a snowmobile through the Callaghan Valley on a snowmobile tour from Whistler that explores the abandoned NorthAir gold mine site. You’ll follow broad, winding trails to an open area that’s a perfect ‘play area’ for snowmobiles, and then get a glimpse of Whistler’s spectacular backcountry. This snowmobile tour includes a short training session, plus it’s ideal for families and first-time riders.",https://media.tacdn.com/media/attractions-splice-spp-360x240/09/c9/47/f8.jpg,Callaghan Cruiser Snowmobile Tour,5.0,4.9,394,"Whistler, British Columbia",Winter Sports,3847.86,ZAR,3847.86,ZAR,/tours/Whistler/Callaghan-Cruiser-Snowmobile-Tour/d618-2014P24,False,en,,,,True,50.113558999999995,-122.954495,14.0,Canada
110,5,1,2014P22,Call of the Wild ATV Tour,"Calling all adventure lovers, this ATV tour allows you to drive through the rugged terrains and spectacular landscapes of Callaghan Valley at your own speed. Following your guide, you’ll follow an off-road, single track trails that leads to rivers, streams, and mountain viewpoints. See old-growth forests and the historic NorthAir gold mine. A valid driving license is required for this activity, which is only suitable for single riders who have previous ATV experience.",https://media.tacdn.com/media/attractions-splice-spp-360x240/06/6f/42/e0.jpg,Call of the Wild ATV Tour,5.0,4.9,370,"Whistler, British Columbia",Nature and Wildlife Tours,2882.44,ZAR,2882.44,ZAR,/tours/Whistler/Call-of-the-Wild-ATV-Tour/d618-2014P22,False,en,,,,True,50.113558999999995,-122.954495,7.0,Canada
110,5,1,106245P2,Vancouver City Centre to-or-from Whistler or Squamish (One-way),"Skip the hassle of figuring out transportation links and enjoy a smooth start to your Whistler or Squamish trip. The comfortable bus transfer service has frequent departures from Vancouver's city center and promises a comfortable journey with free Wi-Fi, plenty of legroom, and on-board washrooms. Whistler drop-off is at the visitor center or Creekside Village.",https://media.tacdn.com/media/attractions-splice-spp-360x240/0c/0a/d6/eb.jpg,Vancouver City Centre to-or-from Whistler or Squamish (One-way),4.5,4.7,355,"Vancouver, British Columbia",Airport & Hotel Transfers,613.0,ZAR,613.0,ZAR,/tours/Vancouver/Vancouver-City-Center-to-Whistler-by-Coach-Return-travel/d616-106245P2,False,en,,,,True,49.2854353,-123.1206908,46.0,Canada
110,5,1,113897P1,Whistler Sightseeing Tour: Discover all of Whistler Year-Round!,"Whistler is known for its fantastic skiing and winter sports, but for travelers that don't want to hit the slopes, there's still lots to see. On this sightseeing tour, experience incredible scenery, and enjoy your guide's commentary as you ride. Visit Green Lake Lookout, Rainbow Park, and more and consider an optional stop at Whistler Brewing Company. This tour—perfect for first-time visitors—is the ideal way to get your bearings and see the sights around Whistler.",https://media.tacdn.com/media/attractions-splice-spp-360x240/0d/07/6f/b1.jpg,Whistler Sightseeing Tour: Discover all of Whistler Year-Round!,5.0,4.9,337,"Whistler, British Columbia",Nature and Wildlife Tours,1603.9,ZAR,1603.9,ZAR,/tours/Whistler/Whistler-Sightseeing-Tour-Discover-all-of-Whistler/d618-113897P1,False,en,,,,True,50.1136619,-122.9523144,14.0,Canada
110,5,1,15895P1,eBike Adventure in Whistler,"Explore Whistler safely and easily with this guided electric bike tour. The e-bikes offer riders a little extra oomph getting around and allow groups of varying biking abilities to ride along together. On this tour, pedal through towering old-growth forests, past alpine streams and ecosystems, and the Olympic Celebration Plaza, all while taking in views of the Coastal Mountain range.",https://media.tacdn.com/media/attractions-splice-spp-360x240/07/a5/00/ba.jpg,eBike Adventure in Whistler,5.0,4.8,322,"Whistler, British Columbia",Nature and Wildlife Tours,2184.33,ZAR,2184.33,ZAR,/tours/Whistler/Guided-Electric-Bike-Tour-in-Whistler/d618-15895P1,False,en,,,,True,50.1223463,-122.9563417,25.0,Canada
